q,r,ordinal,body_hex,truncated_mass,scaled_ticks
50,589,483,0116442a,456921249615234,17476519887542142
50,589,484,01164503,439035051148272,16349689384123536
50,589,485,0116450a,441597852776184,16511145886681992
50,589,486,01164606,465868476515372,18040195182250836
50,589,487,01164c06,503462439469722,20408614848374886
50,589,488,01165405,457686003686916,17524699394058108
50,589,489,0116540c,470786581368162,18350035787976606
50,589,490,01166403,462056686588242,17800052416841646
50,589,491,0116640a,475354740277104,18637829799239952
50,589,492,01166602,473021617755412,18490843080373356
50,589,493,01166c02,512787455579862,20996090863313706
50,589,494,01167401,463566442766472,17895167056070136
50,589,495,0116c403,455377645031694,17379272798779122
50,589,496,0116c405,469853774029926,18291268925667738
50,589,497,0116c40a,465266798380620,18002289459761460
50,589,498,0116c40c,481923908861142,19051687420034346
50,589,499,0116c411,488347775509824,19456391018901312
50,589,500,0116c418,504836000187210,20495149173576630
50,589,501,01174406,479291958655872,18885874557102336
50,589,502,01176402,491840805049512,19676451879901656
50,589,503,0118360c,470997658417936,18363333642112368
50,589,504,01186407,443226021315402,16613720504652726
50,589,505,0118640b,467264961942402,18128173764153726
50,589,506,0118640d,459933494638644,17666291324016972
50,589,507,01186415,453440319742722,17257221305573886
50,589,508,01186419,487826806083942,19423569945070746
50,589,509,01186423,438651213113802,16325507587951926
50,589,510,01186425,461259778618782,17749847214765666
50,589,511,01186429,475073955449652,18620140355110476
50,589,512,01186431,459213057255342,17620903768868946
50,589,513,01186445,456801386819232,17468968531394016
50,589,514,01186461,472210457163432,18439739963078616
50,589,515,01186485,442426454882100,16563347819354700
50,589,516,011864a1,446546399652288,16822904339876544
50,589,517,01186503,436520165085342,16191251562158946
50,589,518,01186505,446229263137554,16802924739448302
50,589,519,01186511,463646571551202,17900215169508126
50,589,520,01186521,476010475032222,18679141088812386
50,589,521,01186605,430655607930548,15821784461406924
50,589,522,01186609,477138064126880,18750179201775840
50,589,523,0118660c,442854572312724,16590319217484012
50,589,524,01186621,437564869834352,16257067961346576
50,589,525,01186628,454931839526138,17351187051929094
50,589,526,01186701,457308214291370,17500898662138710
50,589,527,01186708,472232791320446,18441147014970498
50,589,528,01186c05,450255589857294,17056583322791922
50,589,529,01186c21,463785877915542,17908991470461546
50,589,530,01187405,426242212130436,15543740525999868
50,589,531,01187421,430703371213284,15824793548219292
50,589,532,01187604,443263928373838,16616108649334194
50,589,533,0118e403,439613884568274,16386155889583662
50,589,534,0118e405,434490232717086,16063365822958818
50,589,535,0118e411,460175728709814,17681552070500682
50,589,536,0118e421,458174577020394,17555479514067222
50,589,537,0118e601,455141223689672,17364378254231736
50,589,538,0118e602,469366697691996,18260583116378148
50,589,539,0118e604,462337879697928,17817767582751864
50,589,540,0118e608,474314372875148,18572286652916724
50,589,541,0118e610,484711911224346,19227331568916198
50,589,542,01196405,440590914998728,16447708806702264
50,589,543,01196409,487060390481600,19375285762123200
50,589,544,0119640c,454822164939922,17344277552997486
50,589,545,01196421,451653068121112,17144624453412456
50,589,546,01196428,468968653517936,18235506333412368
50,589,547,01196501,462793146723960,17846449405391880
50,589,548,01196508,477821334062124,18793225207696212
50,589,549,01196604,496106110061588,19945166095662444
50,589,550,01197404,455787709787436,17405106878390868
50,589,551,0119e401,461235032760372,17748288225685836
50,589,552,0119e408,483185067805596,19131140433534948
50,589,553,011a4407,462293461487832,17814969235515816
50,589,554,011a440d,486183241948794,19320025404556422
50,589,555,011a440e,466436389259100,18075973685105700
50,589,556,011a4415,482223376991772,19070553912264036
50,589,557,011a4423,461316547934112,17753423681631456
50,589,558,011a4425,483094483462812,19125433619939556
50,589,559,011a4429,504742414842042,20489253296831046
50,589,560,011a442a,466017256014180,18049568290675740
50,589,561,011a4431,492430425951672,19713597996737736
50,589,562,011a4445,489303612660642,19516608759402846
50,589,563,011a4461,508870217557182,20749304867884866
50,589,564,011a4485,471482227103550,18393861469306050
50,589,565,011a44a1,477979011279978,18803158872421014
50,589,566,011a4503,450682072965072,17083451758581936
50,589,567,011a4505,463495978774764,17890727824592532
50,589,568,011a450a,453496088727630,17260734751623090
50,589,569,011a4511,487089783188112,19377137502633456
50,589,570,011a4521,500324456800272,20210921940199536
50,589,571,011a4605,465353582076448,18007756832598624
50,589,572,011a460c,467961789082424,18172073873975112
50,589,573,011a4621,473993137057492,18552048796404396
50,589,574,011a4628,481769349373078,19041950172286314
50,589,575,011a4701,484156751186134,19192356486508842
50,589,576,011a4708,489490570839010,19528387124640030
