mask_hex,rank,joint,margin_ticks
0480444b,8,0,1024337515698
0146600c,8,0,39108961166184
2039a001,8,0,41704845268590
02d05480,8,0,323691746644980
00785804,8,0,147756900417840
24894404,8,0,1482859170905490
05186101,8,0,539532700664580
27520008,8,0,80486744069088
0111500b,8,0,463545164910618
05156400,8,0,764232792838830
14887100,8,0,235480296949884
27710000,8,0,847618224488280
303c1002,8,0,1078762621691664
22c81408,8,0,1056946641005808
22a8c020,8,0,52371553744440
24519800,8,0,1221859987740
23403202,8,0,519049882231020
15244048,8,0,59654747558952
04385500,8,0,427492998652860
11247040,8,0,1113386126044374
0705a080,8,0,329836566933090
014c6102,8,0,189902016986220
35004284,8,0,65585386843074
112a1401,8,0,151617481032654
00cc7800,8,0,3697382692710
29281500,8,0,430821269311860
2190a600,8,0,644804127191700
05443084,8,0,579435744647970
2112500a,8,0,138754594042218
11282409,8,0,609902608435722
03682088,8,0,319364640366408
010a7210,8,0,436050432929790
06414448,8,0,38260182656808
01622c80,8,0,30426944477580
0218a488,8,0,693660867639768
228060c2,8,0,26339826503970
31504009,8,0,1267418784337902
0498e100,8,0,386255631607020
21804708,8,0,326430844067538
21246003,8,0,456028892152470
01c8a801,8,0,323482892061420
111d4004,8,0,533100528091404
05a07004,8,0,898627656303090
26380108,8,0,93276968605758
07cc0002,8,0,119368520667270
25441801,8,0,117094201117110
27500009,8,0,1212690663466128
05047401,8,0,643077646463700
041a5c00,8,0,144242509411350
098cc040,8,0,45887568940080
2418e100,8,0,511480254939570
26112408,8,0,743322617678718
0b005482,8,0,111097132449660
00325488,8,0,297893247884568
281a3002,8,0,127450578565170
05f01400,8,0,897663719599920
2220f010,8,0,134015307768720
29303004,8,0,210178636531920
21662200,8,0,195725337896592
10885484,8,0,380687718593574
0b807001,8,0,151932213270180
0121d204,8,0,89899626356190
29880206,8,0,62567211213360
30964400,8,0,747288067048614
146d4000,8,0,728287195746474
03980640,8,0,790038483087420
0538a004,8,0,335473356648780
300c2444,8,0,640537184233674
019a0482,8,0,60414794757450
00b0450c,8,0,134704204222518
31240608,8,0,215896701551076
21144490,8,0,157222549789830
224ae000,8,0,397515028271130
17164000,8,0,744382770543594
23205104,8,0,522205676389530
320c3800,8,0,314098203375684
0310f010,8,0,935533885660920
3010d00c,8,0,152679931907202
13407001,8,0,1080348669192744
34485200,8,0,459440633774304
03701210,8,0,670201911442350
01805426,8,0,391264973015490
01301099,8,0,160999496214858
31140481,8,0,954035135158014
35121400,8,0,459378589847814
06816102,8,0,30954312214560
15340048,8,0,116347454527122
14205441,8,0,17735398509654
03c84802,8,0,221039332678710
05984201,8,0,698806866490110
13107400,8,0,1847144935125504
13140c10,8,0,368984255000634
21918401,8,0,166693045334130
124c1480,8,0,132000100297884
13302880,8,0,445590903835224
2b205010,8,0,38117132859960
24380680,8,0,336417416942670
02582481,8,0,510169841056260
1500f100,8,0,225920567678904
35007008,8,0,1155538684755882
2098c600,8,0,1740250760425380
303e0001,8,0,602363251965384
141d1008,8,0,782139173648742
2484c500,8,0,503934339983760
01517001,8,0,1365483904016400
033c1002,8,0,818405820999270
22407420,8,0,345866413533480
31482180,8,0,769438941974514
33402006,8,0,288704486317464
013c2408,8,0,1000508976619488
01500c19,8,0,259019273620548
20587800,8,0,1010388486427110
02541409,8,0,895239451811628
05974000,8,0,53899225232580
24a8c004,8,0,97091117736480
02886448,8,0,112119285637548
35304001,8,0,841701321639864
01a85208,8,0,17195439844548
240d0602,8,0,958300754428710
05215808,8,0,127813544535978
3a046800,8,0,257327128467864
00d05083,8,0,416562656493690
049070a0,8,0,227739193802820
21389400,8,0,1711221912904770
08984109,8,0,4802859685008
2a30c004,8,0,168168612754800
2288c600,8,0,1194813130743540
109c8009,8,0,582979170368322
04964009,8,0,197937140557968
11482049,8,0,37951633282122
15cc0100,8,0,333096490962144
21443090,8,0,161259695750790
01926840,8,0,91147582343790
15cc0040,8,0,418566858562944
06905808,8,0,186414946391898
21c804a0,8,0,446797424917620
043a5008,8,0,320695823740068
26108501,8,0,128379835618650
01548281,8,0,542301048896040
25680081,8,0,336175529779530
100c5481,8,0,111528827984574
14844488,8,0,389825520598332
04586808,8,0,356828038101108
1118d100,8,0,255445424881794
05094620,8,0,192077248468140
144c2801,8,0,53687983278384
100c5490,8,0,22336812213534
220c1c02,8,0,342634137181560
10986c00,8,0,192320100151704
0090450d,8,0,19860095166408
20827005,8,0,8514598066380
0230c40a,8,0,360700131554658
11086a80,8,0,543166340677884
2490e100,8,0,739628465686110
0608e408,8,0,430496762219118
141c1801,8,0,542019221998254
2b40c800,8,0,259466358688740
22a82410,8,0,35784067148550
23018460,8,0,170123898566790
21482184,8,0,547234987008780
2c906040,8,0,411364317246750
01383820,8,0,163260052725420
01107301,8,0,510900743760750
11045481,8,0,584034098689314
