q,r,tests,first_inactive_mask,literal_mass,literal_margin,literal_grid,primary_margin,primary_den
147,249,22,0202a129,667317935958418,-351424518519186,10598113620974880,-103318808444640684,3115845404566614720
147,250,174,0280b206,198332396543126,-273870609319062,3192202897884000,-805179591398042280,9385076519778960000
147,251,22,0202a129,1988262984014290,-2938300386121170,32049717094755360,-863860313519623980,9422616825858075840
147,253,22,0202a129,183595402126912,-180796330217664,2936826666053280,-584695331923925376,9497697438016307520
147,254,1,0a10d120,1008344723565714,-1339845300362898,16216390721250720,-787829036613384024,9535237744095423360
147,256,1,0a10d120,126701633963988,-189836478851796,2043009854645760,-892990796518848384,9610318356253655040
147,258,6,024085d0,340860485870340,-488145327610500,5490588984360480,-287029452634974000,3228466322803962240
147,260,1,0a10d120,7841742951276,-16722657731052,127688115915360,-1278279956961614880,9760479580570118400
147,265,22,0202a129,417387054147612,-774496162756764,6767470143514080,-1138509359252443080,9948181110965697600
147,267,248,2380c108,711043337609562,-661238996465754,11364242316467040,-194404264960931676,3341087241041309760
147,269,22,0202a129,2169283766395326,-727535442021822,34348103181231840,-213895419954415668,10098342335282160960
147,270,22,0202a129,23293568837384,-64762554229128,383064347746080,-571205728300908960,3378627547120425600
147,271,1,0a10d120,2175389945176420,-1364351106135780,34603479413062560,-401119225203919320,10173422947440392640
147,273,22,0202a129,7991587507752,-7282450673064,127688115915360,-27833526472450608,488023979028505920
147,274,22,0202a129,1076648083465112,-2144258263315224,17493271880404320,-1260823858829351712,10286043865677740160
147,279,13,12904122,243643368964464,-483794128743408,3958331593376160,-426706421551685856,3491248465357773120
147,280,13,12904122,8041521995744,-4136577929568,127688115915360,-48646156451719680,1501612243164633600
147,281,120,02c1c300,2265486449266098,-795795985100466,35880360572216160,-233964019619537004,10548826008231551040
147,282,6,024085d0,362427964617444,-1172404021188708,6001341448021920,-689373564458960304,3528788771436888960
147,288,22,0202a129,15653319719190,-35345785013910,255376231830720,-498799718116297920,3603869383595120640
147,292,22,0202a129,569160452898448,-1427821314682896,9321232461821280,-1679117866067085696,10961769375101825280
147,293,174,0280b206,2370821390767042,-288724234478274,37412617963200480,-84884924936612556,10999309681180941120
147,294,174,0280b206,8090568813470,-1046628412830,127688115915360,-615417506744040,75080612158231680
147,296,4,09034019,298351610201356,-101689712787852,4724460288868320,-239174204477027904,11111930599418288640
147,301,22,0202a129,345312706994048,-207655396816896,5490588984360480,-61050686664167424,1614233161401981120
147,302,6,024085d0,1220122034153424,-255933861211728,19280905503219360,-150489110392496064,11337172435892983680
147,304,22,0202a129,7898737731670,-13131986566230,127688115915360,-1173684431343372480,11412253048051215360
147,306,13,12904122,7940990217906,-10470079933362,127688115915360,-313976757041659656,3829111220069815680
147,308,22,0202a129,7900731035198,-13006408443966,127688115915360,-168250899631144176,1651773467481096960
147,309,198,32a0800a,828209344367050,-430315062004170,13151875939282080,-126512628229225980,3866651526148931520
147,310,22,0202a129,246990598745222,-272918652555654,3958331593376160,-802380838513622760,11637494884525910400
147,311,6,024085d0,2502585557731100,-1181126061648540,39711004049676960,-347251062124670760,11675035190605026240
147,313,6,024085d0,2463605389543780,-4658381584772580,39966380281507680,-1369564185923138520,11750115802763257920
147,315,6,024085d0,7819762445892,-18107429570244,127688115915360,-79853764404776040,563104591186737600
147,316,1,0a10d120,636642159648466,-240988571400402,10087361157313440,-283402559966872752,11862736721000605440
147,319,22,0202a129,7935054401688,-10844036355096,127688115915360,-1017018793599033456,11975357639237952960
147,320,6,024085d0,31164219581916,-79664020985052,510752463661440,-1873697773568423040,12012897945317068800
147,322,22,0202a129,184851084719170,-101688326905410,2936826666053280,-59792736220381080,1726854079639328640
147,323,22,0202a129,8074370177598,-2067142472766,127688115915360,-196299983498804892,12125518863554416320
147,324,13,12904122,72497759051988,-29413352677716,1149193043238240,-103770308246982048,4054353056544510720
147,325,13,12904122,40473020669818,-3962016108666,638440579576800,-75714127836607260,12200599475712648000
147,326,22,0202a129,1319527015332686,-122449610855502,20813162894203680,-72000371183035176,12238139781791763840
147,327,22,0202a129,877603403024604,-383004148546908,13918004634774240,-112603219672790952,4091893362623626560
147,328,42,01e05110,326481815413086,-372496639094622,5235212752529760,-876112095150550944,12313220393949995520
147,330,120,02c1c300,8098716557226,-533320556202,127688115915360,-17247586787572680,4129433668702742400
147,332,13,12904122,644318116623358,-1800413136627966,10598113620974880,-2117285848674488016,12463381618266458880
147,335,22,0202a129,519986834289004,-1461244505109228,8555103766329120,-2148029422510565160,12576002536503806400
147,337,22,0202a129,2653873150266630,-4929571787107590,43030895063476320,-1449294105409631460,12651083148662038080
147,338,6,024085d0,105390038556788,-209598521076,1659945506899680,-1602171095104944,12688623454741153920
147,339,98,02423007,913986098758448,-133904171960496,14428757098435680,-39367826556385824,4242054586940089920
147,343,22,0202a129,56646588858398,-6532147551006,893816811407520,-1920451379995764,262782142553810880
147,344,22,0202a129,345329973194844,-206567626166748,5490588984360480,-485847056744191296,12913865291215848960
147,346,17,0c82044a,1366236245095942,-2287292772384774,22090044053357280,-1344928150162247112,12988945903374080640
147,347,22,0202a129,2775971461345052,-2344902825781404,44307776222629920,-689401430779732776,13026486209453196480
147,349,22,0202a129,2764237640207054,-4105638484798158,44563152454460640,-1207057714530658452,13101566821611428160
147,350,22,0202a129,39238059678044,-81764558590428,638440579576800,-240387802255858320,1877015303955792000
147,354,98,02423007,469662626294302,-545649899483934,7533598839006240,-320842140896553192,4429756117335669120
147,358,22,0202a129,1384969985326908,-4171581919802556,22856172748849440,-2452890168843902928,13439429576323470720
147,360,22,0202a129,7967674559320,-8788966424280,127688115915360,-310074735448598400,4504836729493900800
147,361,6,024085d0,152634762128364,-88306795480428,2426074202391840,-493281759553670808,13552050494560818240
147,363,22,0202a129,88217317050556,-60586126090812,1404569275068960,-195935531777686008,4542377035573016640
147,366,1,0a10d120,490564650546832,-250327298897424,7788975070836960,-147192451751685312,4579917341652132480
147,370,1,0a10d120,290174107407648,-616872388791456,4724460288868320,-1813604823046880640,13889913249272860800
147,372,1,0a10d120,247136618016812,-263719438445484,3958331593376160,-310134059611889184,4654997953810364160
147,375,13,12904122,198884898663626,-239062975727562,3192202897884000,-351422574319516140,4692538259889480000
147,378,13,12904122,24126577598362,-12283002287514,383064347746080,-21667216035174696,675725509424085120
