q,r,tests,first_inactive_mask,margin_num,den
3,153,20,1804aa01,-4288168583954892,39072563470100160
3,154,147,28144428,-12167553393698472,117983819105792640
3,155,80,08940509,-2032488591058800,118749947801284800
3,158,49,1a048128,-1869487098570000,121048333887761280
3,159,391,18146030,-558473875422372,40604820861084480
3,160,6,024085d0,-4486494794120640,122580591278745600
3,161,20,1804aa01,-10014992121430296,123346719974237760
3,162,73,3a0c0a00,-2638216700591472,41370949556576640
3,164,4,09034019,-1970841723499152,125645106060714240
3,165,32,32a40801,-2518027719807600,42137078252068800
3,166,3,2a904060,-9996572666874528,127177363451698560
3,167,147,28144428,-3988409787370008,127943492147190720
3,169,93,30168440,-19274014151028,129475749538175040
3,171,22,0202a129,-1010813917963752,43669335643053120
3,172,13,12904122,-2395128577545648,131774135624651520
3,173,3,2a904060,-34361187512849568,132540264320143680
3,174,44,22088c42,-614301854352984,44435464338545280
3,175,20,1804aa01,-5590234055902860,134072521711128000
3,177,130,30700448,-3720525959406816,45201593034037440
3,178,147,28144428,-2327641377289200,136370907797604480
3,179,20,1804aa01,-24806966749342596,137137036493096640
3,180,22,0202a129,-2066351425810560,45967721729529600
3,183,5,3c601010,-4280479605127152,46733850425021760
3,184,20,1804aa01,-766833323937408,140967679970557440
3,185,1,0a10d120,-20608253470871640,141733808666049600
3,186,3,2a904060,-1951596462609864,47499979120513920
3,187,41,0a204449,-11268641075455764,143266066057033920
3,188,130,30700448,-2114567304205104,144032194752526080
3,192,1,0a10d120,-10891065545619840,49032236511498240
3,195,130,30700448,-671020271485200,49798365206990400
3,196,22,0202a129,-3278350833664032,150161224316463360
3,197,130,30700448,-2030954227843212,150927353011955520
3,198,25,0812412c,-3453259228134408,50564493902482560
3,199,373,1a101c10,-3618207743451840,152459610402939840
3,200,422,38120016,-7777549086189120,153225739098432000
3,201,130,30700448,-1455211504006092,51330622597974720
3,203,130,30700448,-4359620215580112,155524125184908480
3,204,26,0230106c,-1656343612354032,52096751293466880
3,205,24,10740051,-3858703536231180,157056382575892800
3,206,1,0a10d120,-8515445134369824,157822511271384960
3,208,3,2a904060,-564546437320320,159354768662369280
3,210,1,0a10d120,-8818006413600720,53629008684451200
3,211,130,30700448,-3956973921712728,161653154748845760
3,212,49,1a048128,-14856960567496320,162419283444337920
3,216,37,10864540,-466547461039296,55161266075435520
3,219,147,28144428,-1775022724928628,55927394770927680
3,220,10,22205c02,-17812636553416320,168548313008275200
3,221,73,3a0c0a00,-7903418674647132,169314441703767360
3,222,24,10740051,-5806779128920224,56693523466419840
3,223,46,0ac44140,-2840219985435840,170846699094751680
3,224,39,0090c4a4,-10813050812781504,171612827790243840
3,225,75,21948006,-1801924693008300,57459652161912000
3,227,130,30700448,-112686821881200,173911213876720320
3,231,25,0812412c,-3001142074879872,58991909552896320
3,232,25,0812412c,-5841634342352256,177741857354181120
3,233,3,2a904060,-525222522443556,178507986049673280
3,236,241,30960500,-3048989862181536,180806372136149760
3,237,25,0812412c,-3981425187771360,60524166943880640
3,239,25,0812412c,-11685971030538924,183104758222626240
3,242,37,10864540,-10556516199148920,185403144309102720
3,243,130,30700448,-3514944478940496,62056424334864960
3,244,32,32a40801,-3815663132775312,186935401700087040
3,246,24,10740051,-8688808268745696,62822553030357120
3,247,234,1a440803,-844244000816580,189233787786563520
3,248,24,10740051,-8389072355017536,189999916482055680
3,249,20,1804aa01,-2607209154802980,63588681725849280
3,250,418,018c2114,-9552128332579560,191532173873040000
3,253,32,32a40801,-23792896346539320,193830559959516480
3,254,90,2210812c,-4823544956381424,194596688655008640
3,255,241,30960500,-578216685124260,65120939116833600
3,256,1,0a10d120,-20688933906196416,196128946045992960
3,258,1,0a10d120,-2024068108961808,65887067812325760
3,260,1,0a10d120,-22085626032484560,199193460827961600
3,261,417,0090492c,-7181387501745744,66653196507817920
3,265,20,1804aa01,-8000759556234900,203024104305422400
3,267,73,3a0c0a00,-2861265499714440,68185453898802240
3,269,80,08940509,-21759049560838716,206088619087391040
3,270,20,1804aa01,-756190497567960,68951582594294400
3,271,41,0a204449,-5647980800731752,207620876478375360
3,272,37,10864540,-7626746109108672,208387005173867520
3,274,255,32260808,-14446692093362256,209919262564851840
3,275,41,0a204449,-18537399384037380,210685391260344000
3,277,26,0230106c,-7212025281581568,212217648651328320
3,278,147,28144428,-9143951761448280,212983777346820480
3,280,24,10740051,-4793342389355520,214516034737804800
3,281,24,10740051,-11463514476906492,215282163433296960
3,282,24,10740051,-4914525501784080,72016097376263040
3,283,130,30700448,-1693296847558008,216814420824281280
3,284,130,30700448,-1427819605958592,217580549519773440
3,287,20,1804aa01,-760812546095784,219878935606249920
3,288,400,00026097,-6307640377940160,73548354767247360
3,289,43,38060490,-1302136091248356,221411192997234240
3,292,32,32a40801,-20320757519379408,223709579083710720
3,293,130,30700448,-13715595451277244,224475707779202880
3,294,3,2a904060,-6434365576095576,75080612158231680
3,295,41,0a204449,-1884533344139880,226007965170187200
3,296,4,09034019,-21872919581071776,226774093865679360
3,297,130,30700448,-1963389436658496,75846740853723840
3,301,32,32a40801,-8577226003355100,230604737343140160
3,302,130,30700448,-1207738876801968,231370866038632320
3,306,3,2a904060,-2560621645018584,78145126940200320
3,308,32,32a40801,-12266396493375024,235967638211585280
3,310,80,08940509,-3330269440696800,237499895602569600
3,311,255,32260808,-3270986732901888,238266024298061760
3,313,32,32a40801,-21479437019450592,239798281689046080
3,314,147,28144428,-2399475857357880,240564410384538240
3,315,13,12904122,-136445446366740,80443513026676800
3,316,24,10740051,-1839320657699616,242096667775522560
3,319,422,38120016,-4071260733832908,244395053861999040
3,320,15,20143209,-14817713039236800,245161182557491200
3,322,373,1a101c10,-18305014238566776,246693439948475520
3,324,80,08940509,-483491690209584,82741899113153280
3,325,32,32a40801,-16200351794374020,248991826034952000
3,326,147,28144428,-2999349513126792,249757954730444160
3,327,130,30700448,-4178877087772296,83508027808645440
3,328,25,0812412c,-1028243988920736,251290212121428480
3,330,74,0840e805,-951794374608000,84274156504137600
3,332,3,2a904060,-5126094068626944,254354726903397120
3,335,24,10740051,-16151290106875560,256653112989873600
3,337,37,10864540,-7828770473216784,258185370380857920
3,338,20,1804aa01,-39640545781920720,258951499076350080
3,339,147,28144428,-4498110306347112,86572542590614080
3,341,147,28144428,-153496910037240,261249885162826560
3,343,373,1a101c10,-14830067489632668,262782142553810880
3,344,255,32260808,-31817779460891424,263548271249303040
3,345,147,28144428,-806020230913380,88104799981598400
3,346,3,2a904060,-19757512621062216,265080528640287360
3,347,130,30700448,-20028864308818176,265846657335779520
3,348,130,30700448,-3259100606857200,88870928677090560
3,349,32,32a40801,-2280002965046352,267378914726763840
3,350,130,30700448,-16714081174407120,268145043422256000
3,354,130,30700448,-1223675855290224,90403186068074880
3,356,373,1a101c10,-13168250296412400,272741815595208960
3,358,20,1804aa01,-1283729123955096,274274072986193280
3,359,130,30700448,-34595910275175144,275040201681685440
3,360,255,32260808,-1459293456872160,91935443459059200
3,361,20,1804aa01,-426373346058660,276572459072669760
3,366,19,2c120091,-10731519128658384,93467700850043520
3,368,147,28144428,-23467634894160576,281935359941114880
3,370,1,0a10d120,-52557170765158080,283467617332099200
3,371,24,10740051,-5211282285842724,284233746027591360
3,372,20,1804aa01,-551710208859264,94999958241027840
3,373,130,30700448,-23441804327016684,285766003418575680
3,377,241,30960500,-3129136512364044,288830518200544320
3,378,331,1886010c,-406369647133632,96532215632012160
3,381,90,2210812c,-3924742505562396,97298344327504320
3,383,12,18492600,-10578991034179260,293427290373497280
3,384,10,22205c02,-11482280685025920,98064473022996480
3,385,20,1804aa01,-9839109271151160,294959547764481600
3,389,73,3a0c0a00,-11907063684531288,298024062546450240
3,390,93,30168440,-152720190178920,99596730413980800
3,392,422,38120016,-1579321000242720,300322448632926720
3,393,422,38120016,-4165165381762980,100362859109472960
3,394,130,30700448,-1515658984678944,301854706023911040
3,395,43,38060490,-29500540150929120,302620834719403200
3,396,25,0812412c,-3712456950591312,101128987804965120
3,397,20,1804aa01,-3692076911398512,304153092110387520
3,400,391,18146030,-2476517929179840,306451478196864000
3,402,73,3a0c0a00,-80538664168872,102661245195949440
3,405,130,30700448,-3509544454625160,103427373891441600
3,406,130,30700448,-15330905214574824,311048250369816960
3,407,130,30700448,-13993190656874352,311814379065309120
3,408,130,30700448,-2893826207839392,104193502586933760
3,409,32,32a40801,-3775944977112672,313346636456293440
3,410,17,0c82044a,-1083190094741160,314112765151785600
3,411,130,30700448,-10814917486967748,104959631282425920
3,412,97,02423007,-21935191533363360,315645022542769920
3,415,255,32260808,-6449944381990200,317943408629246400
3,416,3,2a904060,-28556373267205056,318709537324738560
3,417,130,30700448,-8493521588761356,106491888673410240
3,419,130,30700448,-22847318106815916,321007923411215040
3,420,14,2188042c,-3266488359938160,107258017368902400
3,422,37,10864540,-9682872398002440,323306309497691520
3,427,130,30700448,-12443262007841784,327136952975152320
3,428,80,08940509,-15526397692390032,327903081670644480
3,430,422,38120016,-7953604690643640,329435339061628800
3,431,130,30700448,-14552619461112348,330201467757120960
3,433,80,08940509,-17830770670709136,331733725148105280
3,434,241,30960500,-2452190046185880,332499853843597440
3,437,130,30700448,-5727420414349704,334798239930073920
3,438,130,30700448,-15776637141960576,111854789541855360
