a_hex	b_hex	cover	count	least_mask	least_rank	count8	count9	mass	margin_ticks63
0000000000c86088	0000000000000000	7	4	08024297	9	0	4	217206257824598	185536274754474
0000000000d00000	0000000000000000	3	5	100a86c1	9	0	5	215709956299248	91269278657424
0000000000e00000	0000000000000000	3	172	0028c443	8	6	166	214478482137312	13686406455456
0000000000e00080	0000000000000000	4	21	000ac217	9	0	21	215130887720184	54787958176392
0000000000e07008	0000000000000000	7	2	1802c641	9	0	2	215923217605158	104704740929754
0000000000e87008	0000000000000000	8	6	0803c641	9	0	6	218894313516868	291883783367484
0000000001000000	0000000000000000	1	13747	002ca441	8	1041	12706	215202736765760	59314448047680
0000000001000001	0000000000000000	2	587	04c0a441	8	25	562	214390095268142	8118033697746
0000000001000002	0000000000000000	2	190	04a0a602	8	8	182	214459805589752	12509783959176
0000000001000003	0000000000000000	3	124	04a0a442	8	3	121	214895385593282	39951324181566
0000000001000006	0000000000000000	3	177	04812603	8	11	166	215157712957902	56477948152626
0000000001000007	0000000000000000	4	45	0480a127	9	0	45	216908256655482	166762201100166
0000000001000010	0000000000000000	2	105	0c412601	8	4	101	215820974596332	98263431373716
0000000001000011	0000000000000000	3	28	0441a125	9	0	28	215011215417432	47248603103016
0000000001000012	0000000000000000	3	18	04212217	9	0	18	218095663122912	241568808548256
0000000001000013	0000000000000000	4	2	0421a125	9	0	2	215201324352492	59225466011796
0000000001000016	0000000000000000	4	3	0401a325	9	0	3	219881469639012	354074619062556
0000000001000802	0000000000000000	3	4	00a2a642	9	0	4	216975120358178	170974614370014
0000000001000803	0000000000000000	4	1	08a2a442	9	0	1	214687638562460	26863261239780
0000000001000806	0000000000000000	4	2	0882a642	9	0	2	214570427867068	19478987430084
0000000001200000	0000000000000000	2	192	0068a441	8	4	188	215173090717822	57446747027586
0000000001201000	0000000000000000	3	5	0842a641	9	0	5	214984973722198	45595376303274
0000000001201001	0000000000000000	4	4	0842ac41	9	0	4	215625994465870	85979683154610
0000000001201011	0000000000000000	5	1	0860ac41	9	0	1	215175126439742	57574997508546
0000000001a00000	0000000000000000	3	21	0028a643	9	0	21	217502987157862	204230222750106
0000000002000000	0000000000000000	1	2133	042884c1	8	93	2040	215524400322332	79579252111716
0000000002000001	0000000000000000	2	59	04e004c3	9	0	59	215344649946382	68254978426866
0000000002000002	0000000000000000	2	86	04a10682	8	1	85	217949647553742	232369827690546
