q,r,body_hex,witness_hex,witness_rank
100,626,34306401,0b421208,8
100,626,34306408,02408327,9
100,626,34702401,0180d124,8
100,626,35103500,0802023f,9
100,626,3510b001,00c045d4,9
100,626,3510b400,0802023f,9
100,626,35141208,00c045d4,9
100,626,35206401,0250812c,8
100,626,35306001,02c18c08,8
100,626,35306008,02408327,9
100,626,3530a001,00c045d4,9
100,626,3530a004,008e4409,8
100,626,3530a008,00c045d4,9
100,626,3530c200,084a3880,8
100,626,3530e000,0802023f,9
100,626,35501404,02846282,8
100,626,35501600,00ac6006,8
100,626,35604401,021ca880,8
100,626,3560c400,0802023f,9
100,626,35704001,02882682,8
100,626,36c01401,0110aa88,8
100,626,37206001,009886c0,8
100,626,37206008,009886c0,8
100,626,37801081,0018c456,9
100,626,37901001,08432a80,8
100,626,37a02001,0018c456,9
100,626,37c01400,0802023f,9
100,626,39109402,06610049,8
100,626,39909008,04612216,9
100,626,3bb80000,0041c325,9
100,628,07986008,00619324,9
100,629,03dc1008,34036200,8
100,629,059c1208,1a40e001,8
100,629,070c6208,30701500,8
100,629,072e4400,08412a89,9
100,629,07c81408,1004c097,9
100,629,07c89008,28066480,8
100,629,07cc1008,2011e480,8
100,629,27c41008,0018c456,9
100,629,27d01008,1004c097,9
100,629,35141208,00c045d4,9
100,630,07c81408,28224096,9
100,630,150ad400,08412a89,9
100,630,27c81008,1822a4c0,9
100,630,27d01008,1822a4c0,9
100,630,37a02001,0018c456,9
100,632,070c6208,30701500,8
100,632,070c6408,00619324,9
100,636,052ec400,08412a89,9
100,636,0798200c,3045c440,9
100,636,07986008,00619324,9
100,636,07d84008,1822a4c0,9
100,636,150ad400,08412a89,9
100,636,2630e008,090d1600,8
100,636,26544401,11283050,8
100,636,27049088,10986c00,8
100,636,27869000,08412a89,9
105,593,051ab004,18450a81,9
105,594,07107088,00c18750,9
186,612,150ab400,00d14209,8
186,612,2610b088,18444816,9
186,612,26903088,18444816,9
186,612,2e503001,1008c4c8,8
192,595,059e9000,08412a89,9
192,595,150ad400,08412a89,9
192,595,15286408,02408327,9
192,595,2502d401,10452216,9
192,595,2506f000,12710009,8
192,595,2524e008,18121a80,8
192,595,2546d000,08182509,8
192,595,2d10b001,00c045d4,9
192,595,2d10b008,00c045d4,9
192,595,2d10e001,102c10c8,8
192,595,2d10e008,10e41041,8
192,595,3502d400,08412a89,9
192,595,3520e008,0a061680,8
192,595,3542c400,00283059,8
210,593,075a3000,0084c4c4,8
210,594,07485088,00108576,9
210,594,153ac000,08412a89,9
210,595,0518b402,28070a88,9
210,595,0518b404,28070a88,9
210,595,051cb400,28224096,9
210,595,0528c608,3a131000,8
210,595,0530640a,12cc9000,8
210,595,05346408,284a0892,9
210,595,05386408,32850206,9
210,595,05706408,32850206,9
210,595,0598b008,28224096,9
210,595,059a9080,1204003f,9
210,595,059ab000,1204003f,9
210,595,05b06408,284a0892,9
210,595,05d81088,02008751,8
210,595,060cd600,21b02101,8
210,595,061a5401,2120a282,8
210,595,061a5480,31250201,8
210,595,061a5600,11642081,8
210,595,0628d081,31142600,8
210,595,0628d088,31142600,8
210,595,062cd080,18920209,8
210,595,0638d080,1806001f,9
210,595,065c1480,29826008,8
210,595,065c3400,28224096,9
210,595,06b89080,1806001f,9
210,595,07087408,10550a81,9
210,595,070a5408,10550a81,9
210,595,070cd200,08d22480,8
210,595,07186048,00619324,9
210,595,071a9080,00e12642,9
210,595,07306048,284a0892,9
210,595,07306408,284a0892,9
210,595,07485408,3882a082,9
210,595,075a3000,0084c4c4,8
210,595,07706008,288216c0,9
210,595,077a2000,0084c4c4,8
210,595,077a4000,0080aec1,9
210,595,0788b080,1806001f,9
210,595,078a1401,3010e208,8
210,595,078a9080,1014240d,8
210,595,07925080,10448c49,9
210,595,0798a008,28224096,9
210,595,07b06008,284a0892,9
210,595,07c03084,303e0001,8
210,595,07c03090,303e0001,8
210,595,07da1000,30046488,8
210,595,0e185401,2120a282,8
210,595,0e185480,31250201,8
210,595,0e185600,11642081,8
210,595,0e385400,00418a89,8
210,595,0e981600,11642081,8
210,595,0f08f000,10550a81,9
210,595,0f185400,00418a89,8
210,595,0f189080,00e12642,9
210,595,0f28e000,10550a81,9
210,595,0f583000,0084c4c4,8
210,595,0f782000,0084c4c4,8
210,595,0f784000,0080aec1,9
210,595,0f881600,1054c081,8
210,595,0f889080,1014240d,8
210,595,0f88b000,10550a81,9
210,595,150ad400,08412a89,9
210,595,15306408,284a0892,9
210,595,16185600,28438809,9
210,595,1628d080,01162209,8
210,595,17085600,28438809,9
210,595,178a9000,08412a89,9
210,595,17d01080,0802ac49,9
210,595,24981481,1b066000,8
210,595,25103248,088e4084,8
210,595,25103608,088e4084,8
210,595,251050c8,02a08325,9
210,595,25105288,02668440,8
210,595,25105484,12a8800a,8
210,595,25105488,02a08325,9
210,595,25107048,02a08325,9
210,595,25107408,02a08325,9
210,595,25109482,12a96000,8
210,595,2510b005,088b0648,9
210,595,2510b088,0a0a4216,9
210,595,2510b404,00e84281,8
210,595,2510d088,00e12642,9
210,595,2510f001,088b0648,9
210,595,2510f008,08a206c1,9
210,595,2512b001,00c045d4,9
210,595,2518b001,00c045d4,9
210,595,251c1600,0a42a0a0,8
210,595,25289088,0a426600,8
210,595,25306408,12cc9000,8
210,595,2530e008,0a061680,8
210,595,25329080,1204003f,9
210,595,2532c200,1204003f,9
210,595,2532e000,1204003f,9
210,595,25901484,106a600a,9
210,595,2590b001,0a0a4216,9
210,595,2590b008,0a0a4216,9
210,595,25b04081,004c3216,9
210,595,25d29000,1204003f,9
210,595,2608d088,00e12642,9
210,595,26185480,1806001f,9
210,595,261c1600,11e0c040,8
210,595,26989080,1806001f,9
210,595,2702d200,1014240d,8
210,595,2702f000,10550a81,9
210,595,271050c0,1806001f,9
210,595,27105480,1806001f,9
210,595,27106048,00619324,9
210,595,27109082,088b0648,9
210,595,27809208,00762480,8
210,595,27829080,1014240d,8
210,595,27829200,1014240d,8
210,595,2782b000,10550a81,9
