q,r,grid,mass,ticks,active
372,618,58244022016820640,4055189638489756,22500859157572068,1
520,618,1878839419897440,134803924012472,977289533195976,1
100,617,56273976799840800,3891307400114894,20056459007875122,1
210,617,11254795359968160,799322216548702,5338118202695586,1
220,617,11254795359968160,793665502523500,4981745219107860,1
260,617,11254795359968160,793934834822298,4998713153932134,1
282,617,528975381918503520,37267893914776264,231975788956890552,1
294,617,78783567519777120,5641176685060018,40259861079672654,1
320,617,45019181439872640,3250835202793686,24725892016511658,1
366,617,686542516958057760,47609832474766030,253249378078028850,1
383,617,4310586622867805280,302961940639076304,1844255768790586032,1
384,617,90038362879745280,6249236104231676,33548423047614468,1
416,617,22509590719936320,1568461903869354,8774737064024022,1
520,617,11254795359968160,783477631341854,4339909334664162,1
100,616,91205797082400,6342568660332,34758637271316,1
186,616,565475941910880,38048217453472,135133931925216,1
210,616,18241159416480,1267265829838,6873109613874,1
220,616,18241159416480,1229286548512,4480414890336,1
256,616,291858550663680,18851297019634,20197509582222,1
260,616,18241159416480,1291427120178,8395270905294,1
271,616,4943354201866080,348725534880274,2196291889992942,1
294,616,127688115915360,9225709667328,70467245380224,1
313,616,5709482897358240,386804169750332,1530731104837956,1
316,616,1441051593901920,104963541137000,848496716023320,1
332,616,1514016231567840,103826503319672,485004782867976,1
338,616,237135072414240,16665234956038,101369512573434,1
350,616,91205797082400,6675613320412,55740450856356,1
366,616,1112710724405280,77353329409988,422416855208124,1
383,616,6986364056511840,497510735683700,3397720122025740,1
384,616,145929275331840,9954376960326,43408647173178,1
409,616,7460634201340320,513595196251820,2513960558503380,1
416,616,36482318832960,2496080424434,11323791407502,1
420,616,18241159416480,1314329075490,9838094089950,1
440,616,18241159416480,1211391120456,3353002922808,1
520,616,18241159416480,1302535872998,9095122332954,1
100,615,3739437680378400,268279496978764,1943857588148532,1
186,615,23184513618346080,1599481942087970,8029307878157790,1
210,615,747887536075680,53361085589352,370198247826456,1
260,615,747887536075680,53356936773064,369936872400312,1
294,615,5235212752529760,386540911536032,3411226416650976,1
416,615,1495775072151360,105298986163170,650735839674270,1
520,615,747887536075680,52409657909082,310258303969446,1
100,614,28000179704296800,1949489830135998,10817140481380674,1
186,614,173601114166640160,12211811045779290,74939639217534630,1
210,614,5600035940859360,394242731594242,2437148326999806,1
256,614,89600575053749760,6003159551363816,19796751520921368,1
260,614,5600035940859360,414609862442792,3720277570458456,1
294,614,39200251586015520,2905246531286778,26229525127004934,1
416,614,11200071881718720,785061661944590,4658597175634290,1
520,614,5600035940859360,411060147096314,3496645503630342,1
100,613,55909153611511200,3933443508274988,24170326575279444,1
210,613,11181830722302240,777472296389430,4253431783325130,1
260,613,11181830722302240,801580375091968,5772240741585024,1
100,612,91205797082400,6332287761092,34110940619196,1
186,612,565475941910880,36878109818024,61417150891992,1
192,612,72964637665920,4992527469014,22670679884202,1
210,612,18241159416480,1280630111056,7715059330608,1
220,612,18241159416480,1272476835474,7201402968942,1
248,612,565475941910880,37921636220434,127159314243822,1
256,612,291858550663680,19341729646970,51094765104390,1
260,612,18241159416480,1256836801316,6216080816988,1
271,612,4943354201866080,348418402470544,2176942548179952,1
282,612,857334492574560,59995586254266,350383963720518,1
294,612,127688115915360,9106575479918,62961791573394,1
313,612,5709482897358240,375850103470076,840624929181828,1
316,612,1441051593901920,105476459844474,880810594594182,1
320,612,72964637665920,5153330939710,32801298538050,1
