======================================================================
n=5 SC TOURNAMENTS: b1 vs c3 DETAILED
======================================================================

n=5 SC: (score, c3, b1) => count
  score=(1, 1, 2, 3, 3), c3=3, b1=0: 120
  score=(1, 1, 2, 3, 3), c3=3, b1=1: 120
  score=(1, 2, 2, 2, 3), c3=4, b1=0: 120
  score=(1, 2, 2, 2, 3), c3=4, b1=1: 160
  score=(2, 2, 2, 2, 2), c3=5, b1=1: 24

======================================================================
SCORE (1,2,2,2,3) at n=5: b1 vs c3
======================================================================

  max_c3v=4 at bits=7477, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=7495, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=7506, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=8405, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=8408, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=8524, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=8537, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=8589, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=8596, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=8850, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=8860, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=9001, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=9020, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=9161, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=9171, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=9329, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=9340, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=9478, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=9500, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=9671, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=9681, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=9782, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=9784, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=10083, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=10105, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=10115, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=10134, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=10314, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=10332, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=10405, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=10428, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=10693, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=10699, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=10796, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=10810, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=10947, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=10970, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=11171, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=11181, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=11310, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=11316, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=11491, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=11509, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=11587, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=11598, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=11882, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=11891, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=11943, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=11954, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=12070, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=12075, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=13009, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=13014, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=13068, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=13078, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=13165, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=13169, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=13938, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=13941, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=14119, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=14132, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=14150, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=14163, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=14444, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=14453, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=14535, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=14548, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=14662, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=14669, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=14926, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=14930, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=15077, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=15091, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=15141, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=15150, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=17617, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=17626, c3_vs=[4, 4, 4, 4, 4, 4]
  max_c3v=4 at bits=17676, c3_vs=[4, 4, 4, 4, 4, 4]
