body	d1	d2	low	excess
1,5,9,11,12,14	495	588	243	34729/119189070
1,5,9,11,12,14	495	735	243	34729/119189070
1,5,9,11,12,14	495	882	243	34729/119189070
1,5,9,11,12,14	495	1176	243	34729/119189070
1,5,9,11,12,14	495	1470	243	34729/119189070
1,5,9,11,12,14	495	1617	243	34729/119189070
1,5,9,11,12,14	495	1764	243	34729/119189070
1,5,9,11,12,14	495	2205	243	34729/119189070
1,5,9,11,12,14	495	2940	243	34729/119189070
1,5,9,11,12,14	495	3234	243	34729/119189070
1,5,9,11,12,14	495	3528	243	34729/119189070
1,5,9,11,12,14	495	4410	243	34729/119189070
1,5,9,11,12,14	495	4851	243	34729/119189070
1,5,9,11,12,14	495	5880	243	34729/119189070
1,5,9,11,12,14	495	6468	243	34729/119189070
1,5,9,11,12,14	495	8085	243	34729/119189070
1,5,9,11,12,14	495	8820	243	34729/119189070
1,5,9,11,12,14	495	9702	243	34729/119189070
1,5,9,11,12,14	495	12936	243	34729/119189070
1,5,9,11,12,14	495	16170	243	34729/119189070
1,5,9,11,12,14	495	17640	243	34729/119189070
1,5,9,11,12,14	495	19404	243	34729/119189070
1,5,9,11,12,14	495	24255	243	34729/119189070
1,5,9,11,12,14	495	32340	243	34729/119189070
1,5,9,11,12,14	495	38808	243	34729/119189070
1,5,9,11,12,14	495	48510	243	34729/119189070
1,5,9,11,12,14	495	64680	243	34729/119189070
1,5,9,11,12,14	495	97020	243	34729/119189070
1,5,9,11,12,14	495	194040	243	34729/119189070
1,5,9,11,12,14	504	4851	243	34729/119189070
1,5,9,11,12,14	504	9702	243	34729/119189070
1,5,9,11,12,14	504	19404	243	34729/119189070
1,5,9,11,12,14	504	24255	243	34729/119189070
1,5,9,11,12,14	504	48510	243	34729/119189070
1,5,9,11,12,14	504	97020	243	34729/119189070
1,5,9,11,12,14	588	693	243	34729/119189070
1,5,9,11,12,14	588	990	243	34729/119189070
1,5,9,11,12,14	588	1386	243	34729/119189070
1,5,9,11,12,14	588	1980	243	34729/119189070
1,5,9,11,12,14	588	2772	243	34729/119189070
1,5,9,11,12,14	588	3465	243	34729/119189070
1,5,9,11,12,14	588	6930	243	34729/119189070
1,5,9,11,12,14	588	13860	243	34729/119189070
1,5,9,11,12,14	630	1617	243	34729/119189070
1,5,9,11,12,14	630	3234	243	34729/119189070
1,5,9,11,12,14	630	4851	243	34729/119189070
1,5,9,11,12,14	630	6468	243	34729/119189070
1,5,9,11,12,14	630	8085	243	34729/119189070
1,5,9,11,12,14	630	9702	243	34729/119189070
1,5,9,11,12,14	630	12936	243	34729/119189070
1,5,9,11,12,14	630	16170	243	34729/119189070
1,5,9,11,12,14	630	19404	243	34729/119189070
1,5,9,11,12,14	630	24255	243	34729/119189070
1,5,9,11,12,14	630	32340	243	34729/119189070
1,5,9,11,12,14	630	38808	243	34729/119189070
1,5,9,11,12,14	630	48510	243	34729/119189070
1,5,9,11,12,14	630	64680	243	34729/119189070
1,5,9,11,12,14	630	97020	243	34729/119189070
1,5,9,11,12,14	630	194040	243	34729/119189070
1,5,9,11,12,14	660	882	243	34729/119189070
1,5,9,11,12,14	660	1764	243	34729/119189070
1,5,9,11,12,14	660	2205	243	34729/119189070
1,5,9,11,12,14	660	4410	243	34729/119189070
1,5,9,11,12,14	660	4851	243	34729/119189070
1,5,9,11,12,14	660	8820	243	34729/119189070
1,5,9,11,12,14	660	9702	243	34729/119189070
1,5,9,11,12,14	660	19404	243	34729/119189070
1,5,9,11,12,14	660	24255	243	34729/119189070
1,5,9,11,12,14	660	48510	243	34729/119189070
1,5,9,11,12,14	660	97020	243	34729/119189070
1,5,9,11,12,14	693	735	243	34729/119189070
1,5,9,11,12,14	693	1176	243	34729/119189070
1,5,9,11,12,14	693	1470	243	34729/119189070
1,5,9,11,12,14	693	1764	243	34729/119189070
1,5,9,11,12,14	693	2205	243	34729/119189070
1,5,9,11,12,14	693	2940	243	34729/119189070
1,5,9,11,12,14	693	3528	243	34729/119189070
1,5,9,11,12,14	693	4410	243	34729/119189070
1,5,9,11,12,14	693	5880	243	34729/119189070
1,5,9,11,12,14	693	6468	243	34729/119189070
1,5,9,11,12,14	693	8085	243	34729/119189070
1,5,9,11,12,14	693	8820	243	34729/119189070
1,5,9,11,12,14	693	12936	243	34729/119189070
1,5,9,11,12,14	693	16170	243	34729/119189070
