body	d1	d2	d3	d4
2,5,9,11,12,14	588	3465	10780	21560
2,5,9,11,12,14	588	6930	10780	21560
2,5,9,11,12,14	588	10780	13860	21560
2,5,9,11,12,14	616	6468	8820	10780
2,5,9,11,12,14	616	8085	8820	10780
2,5,9,11,12,14	616	8820	10780	16170
2,5,9,11,12,14	616	8820	10780	32340
2,5,9,11,12,14	616	9702	10780	32340
2,5,9,11,12,14	616	10780	19404	32340
2,5,9,11,12,14	616	10780	24255	32340
2,5,9,11,12,14	630	1617	10780	21560
2,5,9,11,12,14	630	3234	10780	21560
2,5,9,11,12,14	630	6468	10780	21560
2,5,9,11,12,14	630	8085	10780	21560
2,5,9,11,12,14	630	10780	12936	21560
2,5,9,11,12,14	630	10780	16170	21560
2,5,9,11,12,14	630	10780	21560	32340
2,5,9,11,12,14	630	10780	21560	64680
2,5,9,11,12,14	630	10780	32340	38808
2,5,9,11,12,14	630	10780	32340	194040
2,5,9,11,12,14	660	882	10780	21560
2,5,9,11,12,14	660	1764	10780	21560
2,5,9,11,12,14	660	2205	10780	21560
2,5,9,11,12,14	660	3528	9702	10780
2,5,9,11,12,14	660	3528	10780	24255
2,5,9,11,12,14	660	3528	10780	48510
2,5,9,11,12,14	660	4410	10780	21560
2,5,9,11,12,14	660	4851	10780	21560
2,5,9,11,12,14	660	8820	10780	21560
2,5,9,11,12,14	660	9702	10780	21560
2,5,9,11,12,14	660	10780	19404	21560
2,5,9,11,12,14	660	10780	21560	24255
2,5,9,11,12,14	660	10780	21560	48510
2,5,9,11,12,14	660	10780	21560	97020
2,5,9,11,12,14	693	735	10780	21560
2,5,9,11,12,14	693	1176	10780	21560
2,5,9,11,12,14	693	1176	10780	32340
2,5,9,11,12,14	693	1470	10780	21560
2,5,9,11,12,14	693	1960	10780	32340
2,5,9,11,12,14	693	2940	10780	21560
2,5,9,11,12,14	693	3528	8085	10780
2,5,9,11,12,14	693	3528	10780	16170
2,5,9,11,12,14	693	3528	10780	24255
2,5,9,11,12,14	693	3528	10780	32340
2,5,9,11,12,14	693	3528	10780	48510
2,5,9,11,12,14	693	3528	10780	64680
2,5,9,11,12,14	693	3528	10780	97020
2,5,9,11,12,14	693	3528	10780	194040
2,5,9,11,12,14	693	4312	10780	32340
2,5,9,11,12,14	693	5880	10780	21560
2,5,9,11,12,14	693	5880	10780	32340
2,5,9,11,12,14	693	6468	10780	21560
2,5,9,11,12,14	693	8085	10780	21560
2,5,9,11,12,14	693	8820	10780	12936
