H-SPECTRUM: n=8, m=28, EXHAUSTIVE (268435456 tournaments)
Processing lower half [0,134217728) in 174763 chunks of B=768; counts doubled by reversal symmetry. Cores: 24
  H=   141:       752640
  H=   143:       806400
  H=   145:       483840
  H=   147:       322560
  H=   149:       564480
  H=   151:       645120
  H=   153:       945280
  H=   155:      1128960
  H=   157:       645120
  H=   159:      1021440
  H=   161:       483840
  H=   163:       806400
  H=   165:       631680
  H=   167:       322560
  H=   169:       766080
  H=   171:       913920
  H=   173:      1209600
  H=   175:       656640
  H=   177:      1196160
  H=   179:      1048320
  H=   181:       725760
  H=   183:       564480
  H=   185:       725760
  H=   187:       967680
  H=   189:       810240
  H=   191:       887040
  H=   193:       846720
  H=   195:       456960
  H=   197:      1612800
  H=   199:       967680
  H=   201:       497280
  H=   203:      1048320
  H=   205:       725760
  H=   207:       985600
  H=   209:       645120
  H=   211:       806400
  H=   213:      1075200
  H=   215:       806400
  H=   217:       887040
  H=   219:      1585920
  H=   221:      1169280
  H=   223:       725760
  H=   225:       604800
  H=   227:       645120
  H=   229:      1532160
  H=   231:      1559040
  H=   233:      1370880
  H=   235:       564480
  H=   237:      1344000
  H=   239:      1693440
  H=   241:       887040
  H=   243:      1048320
  H=   245:      1008000
  H=   247:      1128960
  H=   249:       913920
  H=   251:       887040
  H=   253:      1088640
  H=   255:       956928
  H=   257:      1209600
  H=   259:      1370880
  H=   261:       967680
  H=   263:       887040
  H=   265:      1048320
  H=   267:      1774080
  H=   269:      1169280
  H=   271:      1290240
  H=   273:      1048320
  H=   275:      1532160
  H=   277:      1088640
  H=   279:       860160
  H=   281:      1935360
  H=   283:      1290240
  H=   285:      1370880
  H=   287:      1370880
  H=   289:      1128960
  H=   291:      1451520
  H=   293:      1693440
  H=   295:      1370880
  H=   297:       806400
  H=   299:       887040
  H=   301:       806400
  H=   303:      1209600
  H=   305:      1128960
  H=   307:      1451520
  H=   309:      1155840
  H=   311:      1048320
  H=   313:       967680
  H=   315:      1155840
  H=   317:      1693440
  H=   319:      1048320
  H=   321:      1559040
  H=   323:      1290240
  H=   325:      1088640
  H=   327:       967680
  H=   329:      1411200
  H=   331:       645120
  H=   333:      1464960
  H=   335:      1532160
  H=   337:      1128960
  H=   339:      1397760
  H=   341:      1048320
  H=   343:       483840
  H=   345:      1911168
  H=   347:      1532160
  H=   349:      1532160
  H=   351:      1747200
