a	b	c	denominator	E0_numerator	E1_numerator	E2_numerator	mass_numerator	raw_carriers
38	53	61	5159868	65208	9858	2562	2562	2
38	53	62	5244456	127452	156456	181872	101736	6
38	55	56	4915680	103284	140580	149832	59268	6
38	55	58	5091240	129732	154440	167112	98760	6
38	55	59	5179020	71592	8250	4602	4602	2
38	55	61	5354580	126312	146190	171864	102552	6
38	55	62	5442360	77292	102960	189072	38976	6
38	56	59	5273184	127452	173376	157320	100872	6
38	56	61	5451936	115596	130368	160056	63624	6
38	58	59	5461512	106020	164952	154392	64608	6
38	58	61	5646648	116508	169128	197928	97476	6
38	59	61	5744004	150480	161778	119682	70476	6
38	59	62	5838168	168264	210984	212772	105768	8
38	61	62	6036072	120384	152256	111600	105744	4
40	41	43	2961840	53760	77736	13416	13416	4
40	41	44	3030720	96240	89544	70488	34464	6
40	41	46	3168480	129360	129888	105984	55560	8
40	41	47	3237360	116160	82410	102930	52704	6
40	41	49	3375120	117120	79704	81144	78744	4
40	41	50	3444000	82320	95940	96900	35160	6
40	41	52	3581760	86640	107256	118944	63024	6
40	41	53	3650640	93600	92250	111192	47352	6
40	41	55	3788400	60960	88560	88410	54810	4
40	41	56	3857280	128160	102336	109440	69120	6
40	41	58	3995040	72000	103320	118080	72000	4
40	41	59	4063920	98400	163590	164454	98400	6
40	41	61	4201680	330240	250920	227880	226920	12
40	41	62	4270560	234480	133332	205128	133332	8
40	43	44	3178560	48000	86688	68640	36648	4
40	43	46	3323040	293760	204336	305076	204336	12
40	43	47	3395280	100320	120744	119448	69618	6
40	43	49	3539760	38400	101910	27048	16470	4
40	43	50	3612000	70080	67080	99000	43380	4
40	43	52	3756480	101280	112488	88920	47616	6
40	43	53	3828720	179520	114810	112890	108570	6
40	43	55	3973200	117600	94170	185760	94170	6
40	43	56	4045440	138000	123840	164160	76080	8
40	43	58	4189920	114000	126936	108924	67896	6
40	43	59	4262160	121920	99072	100506	97152	4
40	43	61	4406640	137280	118938	136584	76104	6
40	43	62	4478880	132480	111456	153432	81456	6
