======================================================================
SUM b1(T\v) DELETION ANALYSIS — HYP-282
======================================================================

--- n=5 exhaustive (1024 tournaments) ---
  VIOLATION: bits=913, scores=(2, 2, 2, 3, 3, 3), sum=6, b1=1
  VIOLATION: bits=918, scores=(1, 2, 3, 3, 3, 3), sum=5, b1=1
  VIOLATION: bits=920, scores=(2, 2, 2, 3, 3, 3), sum=6, b1=1
  VIOLATION: bits=921, scores=(2, 2, 2, 3, 3, 3), sum=6, b1=1
  VIOLATION: bits=922, scores=(2, 2, 2, 3, 3, 3), sum=6, b1=1
  VIOLATION: bits=926, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=929, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=932, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=933, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=934, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=940, scores=(1, 2, 2, 2, 4, 4), sum=4, b1=1
  VIOLATION: bits=942, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=945, scores=(2, 2, 2, 3, 3, 3), sum=6, b1=1
  VIOLATION: bits=948, scores=(1, 2, 2, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=950, scores=(1, 1, 3, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=953, scores=(2, 2, 2, 3, 3, 3), sum=6, b1=1
  VIOLATION: bits=954, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=955, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=956, scores=(1, 2, 2, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=958, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=987, scores=(1, 2, 2, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=993, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=1009, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=1017, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=1019, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=1040, scores=(1, 1, 3, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=1054, scores=(1, 2, 2, 2, 4, 4), sum=4, b1=1
  VIOLATION: bits=1072, scores=(1, 2, 2, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=1104, scores=(1, 2, 2, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=1136, scores=(1, 2, 2, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=1168, scores=(1, 2, 2, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=1200, scores=(1, 2, 2, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=1232, scores=(1, 2, 2, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=1264, scores=(1, 2, 2, 2, 4, 4), sum=4, b1=1
  VIOLATION: bits=1265, scores=(2, 2, 2, 2, 3, 4), sum=5, b1=1
  VIOLATION: bits=1281, scores=(1, 1, 3, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=1283, scores=(1, 2, 2, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=1285, scores=(1, 2, 2, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=1287, scores=(1, 2, 2, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=1289, scores=(1, 2, 2, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=1291, scores=(1, 2, 2, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=1293, scores=(1, 2, 2, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=1294, scores=(2, 2, 2, 2, 3, 4), sum=5, b1=1
  VIOLATION: bits=1295, scores=(1, 2, 2, 2, 4, 4), sum=4, b1=1
  VIOLATION: bits=1296, scores=(1, 2, 3, 3, 3, 3), sum=5, b1=1
  VIOLATION: bits=1297, scores=(1, 2, 3, 3, 3, 3), sum=5, b1=1
  VIOLATION: bits=1310, scores=(2, 2, 2, 2, 3, 4), sum=5, b1=1
  VIOLATION: bits=1505, scores=(1, 2, 2, 2, 4, 4), sum=4, b1=1
  VIOLATION: bits=1521, scores=(2, 2, 2, 2, 3, 4), sum=5, b1=1
  VIOLATION: bits=1552, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=1554, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=1562, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
  VIOLATION: bits=1566, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=1584, scores=(1, 2, 2, 3, 3, 4), sum=4, b1=1
  VIOLATION: bits=1616, scores=(1, 1, 2, 3, 4, 4), sum=4, b1=1
  VIOLATION: bits=1618, scores=(1, 2, 2, 3, 3, 4), sum=5, b1=1
