======================================================================
SC MAXIMIZER — FIXED COMPLEMENTARY PAIR ANALYSIS (n=6)
======================================================================

  Total regular n=6 tournaments: 2640

  H=41: 720 tournaments
    Has invol anti-aut: 720/720
    comp_both (complement pairs both cyclic): {2: 720}
    alpha_2 (from full I.P.): {2: 720}
    Full IP: {(1, 16, 2): 720}

  H=43: 1440 tournaments
    Has invol anti-aut: 0/1440
    comp_both (complement pairs both cyclic): {1: 1440}
    alpha_2 (from full I.P.): {1: 1440}
    Full IP: {(1, 19, 1): 1440}

  H=45: 480 tournaments
    Has invol anti-aut: 480/480
    comp_both (complement pairs both cyclic): {1: 240, 4: 240}
    alpha_2 (from full I.P.): {1: 240, 4: 240}
    Full IP: {(1, 14, 4): 240, (1, 20, 1): 240}

  ===== THEOREM STRUCTURE =====
  comp_both -> alpha_2 -> H mapping:
  comp_both=1: 1680 tours, H={43: 1440, 45: 240}, alpha_2={1: 1680}, anti_aut=240/1680
  bits=3443: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3449: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3459: comp_both=4, alpha_2=4, H=45, IP=(1, 14, 4)
  bits=3462: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=3463: comp_both=4, alpha_2=4, H=45, IP=(1, 14, 4)
  bits=3474: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3475: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=3478: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3491: comp_both=4, alpha_2=4, H=45, IP=(1, 14, 4)
  bits=3493: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=3495: comp_both=4, alpha_2=4, H=45, IP=(1, 14, 4)
  bits=3505: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3507: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=3509: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3523: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=3539: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=3634: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=3642: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=3762: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3763: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3875: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=3882: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3883: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=3890: comp_both=4, alpha_2=4, H=45, IP=(1, 14, 4)
  bits=3891: comp_both=4, alpha_2=4, H=45, IP=(1, 14, 4)
  bits=3898: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=4003: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=4019: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=4372: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=4380: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=4433: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=4436: comp_both=4, alpha_2=4, H=45, IP=(1, 14, 4)
  bits=4437: comp_both=4, alpha_2=4, H=45, IP=(1, 14, 4)
  bits=4440: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=4441: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=4444: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=4500: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=4501: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=4561: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=4565: comp_both=2, alpha_2=2, H=41, IP=(1, 16, 2)
  bits=4882: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=4884: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=4886: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=4888: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=4890: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=4892: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=4913: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=4916: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=4917: comp_both=1, alpha_2=1, H=45, IP=(1, 20, 1)
  bits=4920: comp_both=1, alpha_2=1, H=45, IP=(1, 20, 1)
  bits=4921: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=4924: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=4945: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=4946: comp_both=1, alpha_2=1, H=45, IP=(1, 20, 1)
  bits=4947: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=4952: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=4953: comp_both=1, alpha_2=1, H=45, IP=(1, 20, 1)
  bits=4954: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
  bits=4977: comp_both=1, alpha_2=1, H=43, IP=(1, 19, 1)
