trace_w0,trace_w1,weight,full_signature_preimages,maximal
8200000000000000,0000000000010002,4,4,0
8280000000000000,0000000000010002,5,1,0
0000000000000000,0000000000010010,2,16,0
0000000000400000,0000000000010010,3,4,0
0020000000000000,0000000000010010,3,2,0
0020000000100000,0000000000010010,4,2,0
0020000000400000,0000000000010010,4,2,0
0020000000500000,0000000000010010,5,1,0
0200000000000000,0000000000010010,3,7,0
0200010000000000,0000000000010010,4,1,0
0220000000000000,0000000000010010,4,3,0
0220010000000000,0000000000010010,5,2,1
0280000000000000,0000000000010010,4,6,0
0280000002000000,0000000000010010,5,5,0
02a0000000000000,0000000000010010,5,2,0
8000000000000000,0000000000010010,3,8,0
8000000000400000,0000000000010010,4,1,0
8000080000000000,0000000000010010,4,1,0
8020000000000000,0000000000010010,4,2,0
8020000000100000,0000000000010010,5,2,0
8200000000000000,0000000000010010,4,3,0
8220000000000000,0000000000010010,5,1,0
8280000000000000,0000000000010010,5,4,0
82a0000000000000,0000000000010010,6,1,1
8000000000000000,0000000000010012,4,6,0
8000000000400000,0000000000010012,5,1,0
8020000000000000,0000000000010012,5,1,0
8020000000000200,0000000000010012,6,1,0
