q,r,body_hex,rank8_responders,rank9_responders,total_responders
256,592,1410f408,10,1785,1795
256,592,1410f410,377,8961,9338
256,592,1410f420,380,9509,9889
256,592,1410f440,362,8347,8709
256,592,1410f480,212,5743,5955
256,592,1410f500,379,9328,9707
256,592,1410f600,267,6515,6782
256,592,1410fc00,238,6388,6626
256,592,1411f400,352,8390,8742
256,592,1412b440,82,8827,8909
256,592,1412b500,112,10874,10986
256,592,1412f400,38,3220,3258
256,592,1414b401,45,4428,4473
256,592,1414b402,417,10793,11210
256,592,1414b404,418,11097,11515
256,592,1414b408,36,4708,4744
256,592,1414b410,443,13140,13583
256,592,1414b420,446,13752,14198
256,592,1414b440,397,11250,11647
256,592,1414b480,266,9178,9444
256,592,1414b500,446,13572,14018
256,592,1414b600,312,9610,9922
256,592,1414bc00,307,10385,10692
256,592,1414f400,201,5130,5331
256,592,1415b400,416,12495,12911
256,592,1416b400,38,5659,5697
256,592,14183508,250,10964,11214
256,592,14183d00,754,18517,19271
256,592,14187401,59,2623,2682
256,592,1418e401,513,8870,9383
256,592,1418f400,265,5244,5509
256,592,141a3500,312,12380,12692
256,592,141ae400,650,10678,11328
256,592,141c3401,106,5537,5643
256,592,141cb400,329,8234,8563
256,592,141ce400,789,12696,13485
256,592,1420640d,755,10215,10970
256,592,14206429,886,13098,13984
256,592,14206509,875,12774,13649
256,592,14207409,325,5927,6252
256,592,1420b409,236,9004,9240
256,592,1420e409,193,5241,5434
256,592,1422240d,1604,20546,22150
256,592,14223409,800,14068,14868
256,592,1422f400,584,8568,9152
256,592,14262405,1377,18117,19494
256,592,14262421,1609,21671,23280
256,592,14262501,1610,21549,23159
256,592,1426a401,596,12011,12607
256,592,1430240b,229,9018,9247
256,592,1430240d,185,7384,7569
256,592,1430240e,324,12753,13077
256,592,14302419,246,10369,10615
256,592,1430241a,408,16981,17389
256,592,1430241c,352,15191,15543
256,592,14302429,236,10163,10399
256,592,1430242a,387,16076,16463
256,592,1430242c,348,15174,15522
256,592,14302438,425,19911,20336
256,592,14302449,182,8713,8895
256,592,1430244a,334,14805,15139
