mask_hex,rank,dual_numerator,in_retained_pool
211c9004,8,1333454323,0
211c9008,8,1340104837,0
211c9080,8,1726707044,0
211ca002,8,1360082689,0
211ca004,8,1360082689,0
211ca200,8,1360082689,0
211ca800,8,1360082689,0
21388003,8,1098853991,0
21388088,8,1204447796,0
21509880,8,1042921900,0
21589080,8,1042921900,0
21589800,8,1042921900,0
21844444,8,1084033535,0
21881680,8,1216647539,0
21883202,8,1466510166,0
21889440,8,1002860088,0
218c2082,8,1083988611,0
218c2084,8,1083988611,0
218c3200,8,1466510166,0
218ca080,8,1083988611,0
21980482,8,1063962644,0
21980602,8,1063962644,0
21980680,8,1063962644,0
21982006,8,1360082689,0
21982202,8,1360082689,0
21988402,8,1063962644,0
21988440,8,1063962644,0
21988480,8,1063962644,0
21988600,8,1063962644,0
2198a002,8,1360082689,0
2198a200,8,1360082689,0
219c2002,8,1360082689,0
219c2004,8,1360082689,0
219c2200,8,1360082689,0
219ca000,8,1360082689,0
21a04444,8,1076286096,0
21a44440,8,1046358915,0
26290202,8,1009895307,0
280a3208,8,1050739748,0
28182484,8,1269298266,0
28182680,8,1269298266,0
28182c80,8,1269298266,0
28183280,8,1274878543,0
28186081,8,1265836757,0
28188448,8,1187024981,0
2818a480,8,1269298266,0
281c2088,8,1493393671,0
281c2280,8,2268596608,0
281c3080,8,1274878543,0
282a2208,8,1280500964,0
28382088,8,1478122820,0
2844a880,8,1159300645,0
28482882,8,1230107028,0
284c2009,8,1147225542,0
2898040a,8,1032394325,0
28980448,8,1032394325,0
28980488,8,1032394325,0
28980608,8,1032394325,0
28988408,8,1032394325,0
290c2084,8,1083988611,0
290c2880,8,1083988611,0
290c3004,8,1466510166,0
290ca080,8,1083988611,0
291c2002,8,1360082689,0
291c2004,8,1360082689,0
291c2200,8,1360082689,0
291c2800,8,1360082689,0
291ca000,8,1360082689,0
29988400,8,1063962644,0
30188481,8,1075207708,0
3028240a,8,1108899134,0
30288448,8,1134469216,0
30380481,8,1040545055,0
