mask_hex,rank,active_rows
21a62080,8,449
22086700,8,449
23085a00,8,449
24007128,8,449
244ac008,8,449
25a00540,8,449
27a10100,8,449
29280e00,8,449
2b480280,8,449
2e074000,8,449
000c7490,8,450
0052340c,8,450
00653082,8,450
010c6241,8,450
014c3041,8,450
01a56080,8,450
01e11500,8,450
02027580,8,450
02902780,8,450
03030289,8,450
032c9020,8,450
03a0e020,8,450
04182684,8,450
04446188,8,450
0484120b,8,450
0488d108,8,450
06051281,8,450
0612c011,8,450
06841604,8,450
071400a1,8,450
07180181,8,450
0a1244c0,8,450
0a407201,8,450
0c432401,8,450
0c8a5010,8,450
1148800d,8,450
11ac0202,8,450
12509404,8,450
13108520,8,450
138c000c,8,450
1400628a,8,450
1404a092,8,450
16011c02,8,450
16040059,8,450
16211840,8,450
1c101c10,8,450
1d0a4040,8,450
20502483,8,450
2088610c,8,450
20905610,8,450
20984242,8,450
22063404,8,450
2214a00c,8,450
24a94001,8,450
24cd0010,8,450
25084212,8,450
26032082,8,450
26601012,8,450
2cc90002,8,450
2d100812,8,450
314a4002,8,450
36101024,8,450
002a6409,8,451
0090e308,8,451
0111c441,8,451
0150a4a0,8,451
01782810,8,451
01886888,8,451
01926840,8,451
01a04681,8,451
01c11608,8,451
0300628c,8,451
0310044d,8,451
042c110c,8,451
04459480,8,451
046520c0,8,451
06105103,8,451
06211290,8,451
0630082c,8,451
068c3100,8,451
07140b00,8,451
07300148,8,451
09145802,8,451
09823240,8,451
09e92000,8,451
0a148881,8,451
0a3c0440,8,451
0c280509,8,451
0c9e0001,8,451
1004520b,8,451
1042d009,8,451
10503c08,8,451
108c5240,8,451
11b31000,8,451
120d6400,8,451
14252404,8,451
15322010,8,451
16484006,8,451
169a0001,8,451
17a10001,8,451
19088409,8,451
19209c00,8,451
1a065004,8,451
1a280488,8,451
220c1c02,8,451
22d04240,8,451
24180506,8,451
249d0020,8,451
25900a02,8,451
2c0230c0,8,451
2ca01202,8,451
3104900a,8,451
31980028,8,451
00826588,8,452
01b80540,8,452
02301c82,8,452
02701051,8,452
02b88101,8,452
030a2098,8,452
030bb000,8,452
03c03210,8,452
0402348a,8,452
0402428b,8,452
041860c1,8,452
0424a083,8,452
044d020c,8,452
04980189,8,452
05852880,8,452
06630402,8,452
06682048,8,452
068014c8,8,452
07108015,8,452
08486288,8,452
09424448,8,452
0a711800,8,452
0a80700a,8,452
0aa0500c,8,452
0b046408,8,452
0c2a6040,8,452
0cc2a200,8,452
0d0150c0,8,452
0d083104,8,452
