a_hex	b_hex	cover	count	least_mask	labels
000000000000c800	0000000000000000	3	74	10463082	1,7,12,13,17,18,22,28
000000000000e000	0000000000000000	3	6	30c49002	1,12,15,18,22,23,28,29
0000000000010000	0000000000000000	1	31	10c23480	7,10,12,13,17,22,23,28
0000000000010200	0000000000000000	2	29	1082a488	3,7,10,13,15,17,23,28
0000000000010600	0000000000000000	3	13	3080a482	1,7,10,13,15,23,28,29
0000000000010700	0000000000000000	4	2	308086c0	6,7,9,10,15,23,28,29
0000000000015000	0000000000000000	3	2	18423088	3,7,12,13,17,22,27,28
000000000001d801	0000000000000000	6	1	18c23080	7,12,13,17,22,23,27,28
000000000001dec1	0000000000000000	10	1	38c22080	7,13,17,22,23,27,28,29
0000000000020000	0000000000000000	1	255	1012e081	0,7,13,14,15,17,20,28
0000000000020080	0000000000000000	2	42	1050a281	0,7,9,13,15,20,22,28
00000000000200c0	0000000000000000	3	7	2072a080	7,13,15,17,20,21,22,29
0000000000020180	0000000000000000	3	21	18528201	0,9,15,17,20,22,27,28
00000000000210c0	0000000000000000	4	9	1052a880	7,11,13,15,17,20,22,28
0000000000040000	0000000000000000	1	315	20106407	0,1,2,10,13,14,20,29
0000000000040100	0000000000000000	2	5	30520481	0,7,10,17,20,22,28,29
0000000000060000	0000000000000000	2	139	20126083	0,1,7,13,14,17,20,29
0000000000060080	0000000000000000	3	7	20702083	0,1,7,13,20,21,22,29
00000000000600c0	0000000000000000	4	2	28722080	7,13,17,20,21,22,27,29
0000000000060881	0000000000000000	5	10	20522083	0,1,7,13,17,20,22,29
00000000000618c1	0000000000000000	7	4	30522280	7,9,13,17,20,22,28,29
0000000000080000	0000000000000000	1	191	2006c441	0,6,10,14,15,17,18,29
000000000008a010	0000000000000000	4	2	30468081	0,7,15,17,18,22,28,29
0000000000100000	0000000000000000	1	148	1000e4c8	3,6,7,10,13,14,15,28
0000000000100200	0000000000000000	2	23	10622488	3,7,10,13,17,21,22,28
0000000000110200	0000000000000000	3	15	18422488	3,7,10,13,17,22,27,28
0000000000115240	0000000000000000	6	1	38422088	3,7,13,17,22,27,28,29
0000000000200000	0000000000000000	1	3	2002e441	0,6,10,13,14,15,17,29
0000000000220000	0000000000000000	2	5	2002e281	0,7,9,13,14,15,17,29
0000000000240000	0000000000000000	2	6	20026681	0,7,9,10,13,14,17,29
0000000000260000	0000000000000000	3	12	20226083	0,1,7,13,14,17,21,29
0000000000280000	0000000000000000	2	7	2002c4c1	0,6,7,10,14,15,17,29
00000000002c0000	0000000000000000	3	3	28024681	0,7,9,10,14,17,27,29
0000000000300000	0000000000000000	2	12	2002e4c0	6,7,10,13,14,15,17,29
0000000000320000	0000000000000000	3	5	2042e280	7,9,13,14,15,17,22,29
0000000000340000	0000000000000000	3	28	20226482	1,7,10,13,14,17,21,29
0000000000360000	0000000000000000	4	20	20426086	1,2,7,13,14,17,22,29
0000000000380000	0000000000000000	3	11	2062c440	6,10,14,15,17,21,22,29
0000000000400000	0000000000000000	1	624	00203683	0,1,7,9,10,12,13,21
0000000000408000	0000000000000000	2	1	0842b081	0,7,12,13,15,17,22,27
0000000000408801	0000000000000000	4	4	08423281	0,7,9,12,13,17,22,27
0000000000410000	0000000000000000	2	2	18423480	7,10,12,13,17,22,27,28
000000000041d000	0000000000000000	5	1	1842b080	7,12,13,15,17,22,27,28
000000000041d801	0000000000000000	7	3	18423280	7,9,12,13,17,22,27,28
0000000000668c81	0000000000000000	9	1	38422081	0,7,13,17,22,27,28,29
0000000000710600	0000000000000000	6	1	3042a480	7,10,13,15,17,22,28,29
000000000073d6c0	0000000000000000	12	1	3842a080	7,13,15,17,22,27,28,29
0000000000740600	0000000000000000	6	1	30622480	7,10,13,17,21,22,28,29
0000000000750600	0000000000000000	7	3	30422680	7,9,10,13,17,22,28,29
00000000007606c0	0000000000000000	9	1	38622080	7,13,17,21,22,27,28,29
000000000077dec1	0000000000000000	15	3	38422082	1,7,13,17,22,27,28,29
0000000000800000	0000000000000000	1	244	2421220a	1,3,9,13,16,21,26,29
0000000001000000	0000000000000000	1	629	240086c1	0,6,7,9,10,15,26,29
0000000001800000	0000000000000000	2	48	24212282	1,7,9,13,16,21,26,29
0000000002000000	0000000000000000	1	622	0401b288	3,7,9,12,13,15,16,26
0000000002800000	0000000000000000	2	394	24018328	3,5,8,9,15,16,26,29
0000000003800000	0000000000000000	3	58	24012216	1,2,4,9,13,16,26,29
0000000004000000	0000000000000000	1	143	02848125	0,2,5,8,15,18,23,25
0000000004000002	0000000000000000	2	22	228c0007	0,1,2,18,19,23,25,29
0000000004000004	0000000000000000	2	36	02c08125	0,2,5,8,15,22,23,25
0000000004000006	0000000000000000	3	5	22c80016	1,2,4,19,22,23,25,29
000000000400000c	0000000000000000	3	33	02808127	0,1,2,5,8,15,23,25
000000000400000e	0000000000000000	4	3	22881007	0,1,2,12,19,23,25,29
0000000004000010	0000000000000000	2	193	02048127	0,1,2,5,8,15,18,25
0000000004000012	0000000000000000	3	51	220c0017	0,1,2,4,18,19,25,29
0000000004000014	0000000000000000	3	38	02408127	0,1,2,5,8,15,22,25
0000000004000016	0000000000000000	4	6	22480096	1,2,4,7,19,22,25,29
000000000400001c	0000000000000000	4	48	02008327	0,1,2,5,8,9,15,25
000000000400001e	0000000000000000	5	10	22081017	0,1,2,4,12,19,25,29
0000000004002000	0000000000000000	2	2	208c9003	0,1,12,15,18,19,23,29
0000000004002010	0000000000000000	3	11	200c8017	0,1,2,4,15,18,19,29
0000000004002012	0000000000000000	4	12	200c1017	0,1,2,4,12,18,19,29
0000000004002016	0000000000000000	5	2	20481096	1,2,4,7,12,19,22,29
0000000008000000	0000000000000000	1	378	001684c1	0,6,7,10,15,17,18,20
0000000008000100	0000000000000000	2	252	005284c1	0,6,7,10,15,17,20,22
0000000008000180	0000000000000000	3	13	00d08125	0,2,5,8,15,20,22,23
0000000008000800	0000000000000000	2	1	28560081	0,7,17,18,20,22,27,29
0000000008020180	0000000000000000	4	13	20508125	0,2,5,8,15,20,22,29
0000000008040100	0000000000000000	3	3	20720403	0,1,10,17,20,21,22,29
0000000010000000	0000000000000000	1	25	2026048a	1,3,7,10,17,18,21,29
0000000010000200	0000000000000000	2	22	20a2048a	1,3,7,10,17,21,23,29
0000000010100200	0000000000000000	3	31	2022248a	1,3,7,10,13,17,21,29
0000000010800000	0000000000000000	2	2	20662088	3,7,13,17,18,21,22,29
0000000010900240	0000000000000000	5	1	28622088	3,7,13,17,21,22,27,29
0000000020000000	0000000000000000	1	8	20062681	0,7,9,10,13,17,18,29
0000000020008000	0000000000000000	2	4	2006a281	0,7,9,13,15,17,18,29
0000000020008800	0000000000000000	3	3	20462281	0,7,9,13,17,18,22,29
0000000021000400	0000000000000000	3	4	20822681	0,7,9,10,13,17,23,29
0000000021008c81	0000000000000000	7	1	28c22081	0,7,13,17,22,23,27,29
0000000021628480	0000000000000000	8	1	2842a081	0,7,13,15,17,22,27,29
0000000021640400	0000000000000000	6	2	28022681	0,7,9,10,13,17,27,29
