a_hex	b_hex	cover	count	least_mask	labels
000001cc0001dec1	0000000000000000	15	2	18c22280	7,9,13,17,22,23,27,28
0000020000000000	0000000000000000	1	337	1004b448	3,6,10,12,13,15,18,28
0000020000002000	0000000000000000	2	2	10cc9002	1,12,15,18,19,22,23,28
0000020000004000	0000000000000000	2	34	1044b00c	2,3,12,13,15,18,22,28
0000020000004020	0000000000000000	3	2	18468808	3,11,15,17,18,22,27,28
000002000000c000	0000000000000000	3	33	1044b006	1,2,12,13,15,18,22,28
000002000000c800	0000000000000000	4	9	10c63200	9,12,13,17,18,22,23,28
000002000000e000	0000000000000000	4	1	10c49012	1,4,12,15,18,22,23,28
0000022000000000	0000000000000000	2	20	104c3006	1,2,12,13,18,19,22,28
0000022000004000	0000000000000000	3	7	10453208	3,9,12,13,16,18,22,28
000002200000c800	0000000000000000	5	4	10443016	1,2,4,12,13,18,22,28
0000024000000000	0000000000000000	2	8	104e200a	1,3,13,17,18,19,22,28
0000024000004000	0000000000000000	3	10	1846200a	1,3,13,17,18,22,27,28
000002400000c800	0000000000000000	5	7	18c62002	1,13,17,18,22,23,27,28
0000026000000000	0000000000000000	3	7	10cc2006	1,2,13,18,19,22,23,28
0000040000000000	0000000000000000	1	39	10083489	0,3,7,10,12,13,19,28
0000040000000000	0000000000010000	2	3	10809489	0,3,7,10,12,15,23,28
0000040000000000	00000000000a8000	4	1	18808449	0,3,6,10,15,23,27,28
0000040000000000	0000000000428000	4	1	10c08449	0,3,6,10,15,22,23,28
0000040000000000	0000000000480000	3	1	10888449	0,3,6,10,15,19,23,28
0000040000000000	00000000004a8000	5	1	1080a449	0,3,6,10,13,15,23,28
0000040000000000	0000000200480000	4	1	1088a409	0,3,10,13,15,19,23,28
0000040000000000	0000000600400000	4	1	10c82409	0,3,10,13,19,22,23,28
0000040000000000	0000001800480000	5	1	1008a449	0,3,6,10,13,15,19,28
0000040000000000	0000001a00400000	5	1	1048a409	0,3,10,13,15,19,22,28
0000040000000000	0000001a00480000	6	1	1008a609	0,3,9,10,13,15,19,28
0000040000010200	0000000000000000	3	1	10c084c8	3,6,7,10,15,22,23,28
0000041000000000	0000000000000000	2	6	1008b4c0	6,7,10,12,13,15,19,28
0000041000010000	0000000000000000	3	2	1080b4c0	6,7,10,12,13,15,23,28
0000041000010000	0000000000010000	4	1	10c0b480	7,10,12,13,15,22,23,28
0000049000000000	0000000000000000	3	11	108884c1	0,6,7,10,15,19,23,28
0000049000010600	0000000000000000	6	2	1080a6c0	6,7,9,10,13,15,23,28
0000049000010700	0000000000000000	7	2	10c086c0	6,7,9,10,15,22,23,28
0000059000000000	0000000000000000	4	3	10882682	1,7,9,10,13,19,23,28
0000060000000000	0000000000000000	2	4	10889448	3,6,10,12,15,19,23,28
0000061000000000	0000000000000000	3	1	10c89440	6,10,12,15,19,22,23,28
0000069000000000	0000000000000000	4	4	10c88640	6,9,10,15,19,22,23,28
0000080000000000	0000000000000000	1	170	001a2483	0,1,7,10,13,17,19,20
0000080000040000	0000000000000000	2	41	00126681	0,7,9,10,13,14,17,20
0000080000060000	0000000000000000	3	14	10526081	0,7,13,14,17,20,22,28
0000080000060881	0000000000000000	6	3	10522281	0,7,9,13,17,20,22,28
0000084000000000	0000000000000000	2	20	003a2282	1,7,9,13,17,19,20,21
00000840000600c0	0000000000000000	6	1	18722080	7,13,17,20,21,22,27,28
00000840000618c1	0000000000000000	9	2	18522280	7,9,13,17,20,22,27,28
0000100000000000	0000000000000000	1	664	0008648b	0,1,3,7,10,13,14,19
0000100000000000	0000000e00000000	4	3	00686409	0,3,10,13,14,19,21,22
0000100000000000	0000000e00400000	5	2	10282609	0,3,9,10,13,19,21,28
0000100000000000	0000001000000000	2	144	0018640b	0,1,3,10,13,14,19,20
0000100000000000	0000001e00000000	5	2	10486209	0,3,9,13,14,19,22,28
0000100000000000	0000001e00080000	6	1	10086609	0,3,9,10,13,14,19,28
0000140000000000	0000000000000000	2	2	10082689	0,3,7,9,10,13,19,28
0000140000000000	0000001e00400000	7	1	10482609	0,3,9,10,13,19,22,28
0000180000000000	0000000000000000	2	193	00186483	0,1,7,10,13,14,19,20
0000180000000000	0000001000000000	3	21	00586403	0,1,10,13,14,19,20,22
0000180000040000	0000000000000000	3	10	10306482	1,7,10,13,14,20,21,28
0000180000040000	0000001000000000	4	3	10506441	0,6,10,13,14,20,22,28
0000180000060000	0000000000000000	4	4	10506281	0,7,9,13,14,20,22,28
0000184000000000	0000000000000000	3	2	08782880	7,11,13,19,20,21,22,27
0000200000000000	0000000000000000	1	1	10456600	9,10,13,14,16,18,22,28
0000400000000000	0000000000000000	1	4	10456480	7,10,13,14,16,18,22,28
0000600000000000	0000000000000000	2	2	1045e400	10,13,14,15,16,18,22,28
0000620000000000	0000000000000000	3	2	104da400	10,13,15,16,18,19,22,28
0000800000000000	0000000000000000	1	1	10456280	7,9,13,14,16,18,22,28
000080000000c000	0000000000000000	3	1	1045a280	7,9,13,15,16,18,22,28
000080400000c800	0000000000000000	5	1	10472280	7,9,13,16,17,18,22,28
0000a00000000000	0000000000000000	2	6	10456201	0,9,13,14,16,18,22,28
0000a00000008000	0000000000000000	3	1	1045a201	0,9,13,15,16,18,22,28
0000a20000000000	0000000000000000	3	1	104da200	9,13,15,16,18,19,22,28
0000a2400000c800	0000000000000000	7	1	18472200	9,13,16,17,18,22,27,28
0000c00000000000	0000000000000000	2	8	10456081	0,7,13,14,16,18,22,28
0000c00000008000	0000000000000000	3	1	1045a081	0,7,13,15,16,18,22,28
0000c0000000c000	0000000000000000	4	2	1045a880	7,11,13,15,16,18,22,28
0000c04000000000	0000000000000000	3	2	104f2080	7,13,16,17,18,19,22,28
0000c0400000c800	0000000000000000	6	1	18472080	7,13,16,17,18,22,27,28
0000e00000000000	0000000000000000	3	21	10456003	0,1,13,14,16,18,22,28
0000e00000008800	0000000000000000	5	1	18472001	0,13,16,17,18,22,27,28
0000e04000000000	0000000000000000	4	1	18672000	13,16,17,18,21,22,27,28
0000e2000000c000	0000000000000000	6	1	1847a000	13,15,16,17,18,22,27,28
0000e24000000000	0000000000000000	5	1	184f2000	13,16,17,18,19,22,27,28
0000e2400000c800	0000000000000000	8	1	18472800	11,13,16,17,18,22,27,28
0001600000080000	0000000000000000	4	1	1045c440	6,10,14,15,16,18,22,28
0002000000000000	0000000000000000	1	6	10442681	0,7,9,10,13,18,22,28
0002200000000000	0000000000000000	2	6	10446640	6,9,10,13,14,18,22,28
0002220000000000	0000000000000000	3	4	1044a640	6,9,10,13,15,18,22,28
0002400000000000	0000000000000000	2	42	10446481	0,7,10,13,14,18,22,28
0002600000000000	0000000000000000	3	45	10446403	0,1,10,13,14,18,22,28
0002620000000000	0000000000000000	4	13	1044ac40	6,10,11,13,15,18,22,28
0002800000000000	0000000000000000	2	12	10446281	0,7,9,13,14,18,22,28
0002800000008000	0000000000000000	3	1	1044a281	0,7,9,13,15,18,22,28
0002800000008800	0000000000000000	4	1	10462281	0,7,9,13,17,18,22,28
000280000000c000	0000000000000000	4	2	1044aa80	7,9,11,13,15,18,22,28
0002802000000000	0000000000000000	3	1	104c2281	0,7,9,13,18,19,22,28
0002804000000000	0000000000000000	3	3	104e2280	7,9,13,17,18,19,22,28
000280400000c800	0000000000000000	6	2	10462a80	7,9,11,13,17,18,22,28
0002806000000000	0000000000000000	4	1	104c2282	1,7,9,13,18,19,22,28
000280600000c800	0000000000000000	7	1	18442a80	7,9,11,13,18,22,27,28
0002a00000000000	0000000000000000	3	32	10446203	0,1,9,13,14,18,22,28
0002a00000008000	0000000000000000	4	1	1046a201	0,9,13,15,17,18,22,28
0002a00000008800	0000000000000000	5	1	18462201	0,9,13,17,18,22,27,28
0002a04000000000	0000000000000000	4	4	106c2202	1,9,13,18,19,21,22,28
0002a20000000000	0000000000000000	4	1	104ea200	9,13,15,17,18,19,22,28
0002a2000000c000	0000000000000000	6	1	1846a200	9,13,15,17,18,22,27,28
